SlNo,Slide_No,State,District,Slide_Name,Latitude,Longitude,History,event_date,rainfall_mm
762,ASM/KAM (M)/78N16/2017/04,Assam,Kamrup (Metro),Dakshin Saraniya-1,26.17672222,91.76525115966797,13 June 2017,2017-06-13,83.35499838925898
773,ASM/KAM/78N16/2020/001,Assam,Kamrup (Metro),Hirimbapur landslide,26.19330556,91.77725219726562,28 June 2020,2020-06-28,13.029999554157257
774,ASM/KAM/78N16/2020/002,Assam,Kamrup (Metro),Ambher landslide,26.09150556,91.87898611,12 July 2020,2020-07-12,12.26999983098358
775,ASM/KAM/78N12/2020/003,Assam,Kamrup (Metro),Gauripur landslide,26.21305556,91.69249725341797,26 June 2020,2020-06-26,56.64999882597476
776,ASM/K(M)/78N16/2022-23/003,Assam,Kamrup (Metro),Salbari,26.191600799560547,91.8036117553711,16 June 2022,2022-06-16,140.19999754428864
777,ASM/K(M)/78N16/2022-23/001,Assam,Kamrup (Metro),Upper Luitpur,26.193220138549805,91.77033233642578,16 June 2022,2022-06-16,146.0349970459938
778,ASM/K(M)/78N16/2022-23/002,Assam,Kamrup (Metro),Anandanagar,26.187889099121094,91.79492950439453,17 June 2022,2022-06-17,59.0949982739985
783,ASM/DH/83G04/2022-23/030,Assam,Dima Hasao,Merryland Slide,25.17741584777832,93.00975036621094,16 May 2022,2022-05-16,71.41999770328403
785,ASM/DH/83G04/2022-23/022,Assam,Dima Hasao,Lower Haflong Slide 2,25.189189910888672,93.02117919921875,15 May 2022,2022-05-15,73.85499800182879
801,AS/KAM(M)/78N12/2025/01,Assam,Kamrup,Kamakhya Main Road,26.16618537902832,91.7146987915039,04 June 2025,2025-06-04,38.58499898016453
802,AS/KAM(M)/78N12/2025/02,Assam,Kamrup,Kamakhya Main Road,26.166160583496094,91.713803,04 June 2025 at 14.30 hrs.,2025-06-04,38.58499898016453
803,AS/KAM(M)/78N12/2025/03,Assam,Kamrup,Kamakhya Main Road,26.1629695892334,91.70590209960938,05 June 2025 at 15.20 hrs.,2025-06-05,4.379999950528145
813,ASM/DH/83G03/2023-24/004,Assam,Dima Hasao,Gunjung subsidence,25.316197,93.006158,16 June 2022,2022-06-16,115.57499739527702
878,ARN/WK/83A12/2016/01,Arunachal Pradesh,West Kameng,Bhalukpong Circuit House slide,27.018342,92.6355972290039,1 July 2016 at 12:20 hrs.,2016-07-01,43.602498561143875
999,ARN/LS/83E15/2016/04,Arunachal Pradesh,Lower Subansiri,Hoj-Potin slide,27.193425,93.780983,16 July 2016,2016-07-16,69.68999771773815
1033,ARN/LS/83E15/2016/08,Arunachal Pradesh,Lower Subansiri,Hoj-Potin slide,27.23995018005371,93.806589,17 July 2016,2016-07-17,4.779999900609255
1042,ARN/LS/83E15/2016/07,Arunachal Pradesh,Lower Subansiri,Hoj-Potin slide,27.246131,93.804711,17 July 2016,2016-07-17,4.779999900609255
1049,ARN/LS/83E15/2016/06,Arunachal Pradesh,Lower Subansiri,Hoj-Potin slide,27.254756,93.801303,17 July 2016,2016-07-17,4.779999900609255
1082,ARN/LS/83E15/2016/05,Arunachal Pradesh,Lower Subansiri,Hoj-Potin slide,27.294885635375977,93.803328,17 July 2016,2016-07-17,4.779999900609255
1103,ARN/LS/83E15/2016/03,Arunachal Pradesh,Lower Subansiri,Possa-Potin slide,27.307071685791016,93.806008,17 July 2016,2016-07-17,4.369999893009663
1120,ARN/LS/83E15/2016/02,Arunachal Pradesh,Lower Subansiri,Possa-Potin slide,27.339267,93.802581,16 July 2016,2016-07-16,84.24999815970659
1938,ARA/PP/83E16/2024/01,Arunachal Pradesh,Papum Pare,Banderdewa Petrol Pump Slide,27.105253219604492,93.825399,18 June 2024 at 11:00 hrs.,2024-06-18,48.20499901100993
1940,ARA/PP/83E16/2024/03,Arunachal Pradesh,Papum Pare,Chiputa Slide,27.121135711669922,93.762164,18 June 2024 at 04:30 hrs.,2024-06-18,39.944999299012125
1941,ARA/DIB/82P15/2024/01,Arunachal Pradesh,Lower Dibang Valley,Abrali Slide,28.38919722,95.92776111,24 April 2024,2024-04-24,8.159999871626496
18701,MN/TGPL/83L03/2018/009,Manipur,Tengnoupal,Lokchao Landslide,24.813306,93.243417,2 August 2018,2018-08-02,0.2449999898672104
18904,MN/NON/83H13/2018/001,Manipur,Noney,Kotlen landslide,24.925199508666992,94.33709716796875,06 June 2018,2018-06-06,0.14999999105930328
18986,MN/UKH/83L01/2018/48,Manipur,Ukhrul,,24.98352813720703,94.158333,12 June 2018,2018-06-12,125.10999681055546
18988,MN/TAM/83H05/2018/1,Manipur,Tamenglong,,24.983806,93.497528,22 June 2018,2018-06-22,13.984999645501375
19017,MN/UKH/83L01/2018/14,Manipur,Ukhrul,,24.994277954101562,94.205917,28 August 2007,2007-08-28,36.824999429285526
19020,MN/KAN/83L01/2018/47,Manipur,Kangpokpi,,24.99797248840332,94.020444,28 August 2007,2007-08-28,16.894999645650387
19123,MN/TMG/83H05/2018/003,Manipur,Tamenglong,Neigailong Slide,25.091777801513672,92.354694,"2017, 11 July 2018",2018-07-11,11.229999855160713
19217,MN/KAN/83G16/2018/007,Manipur,Kangpokpi,Kalikhola Slide II (Old Landslide),25.146528244018555,93.941722,"4 June 2017, July 2018",2017-06-04,12.854999855160713
19558,MA/TAM/83H05/2024/01,Manipur,Tamenglong,Dimthanlong landslide,24.979000091552734,93.49600219726562,29 July 2024,2024-07-29,93.96999813616276
19560,MN/BIS/83H14/2024/02,Manipur,Bishnupur,Khunjem slide-2,24.51705551147461,93.817056,2 August 2024.,2024-08-02,6.36999985575676
19601,6831,Manipur,Noney,,24.863924026489258,93.617853,05 June 2025,2025-06-05,0.25999999046325684
19675,MEGH/JH/83C08/2007/D-23,Meghalaya,Jaintia Hills,Sonapur slide,25.12186050415039,92.388583,31 July 2007,2007-07-31,62.63999804481864
19681,MEGH/JH/83C08/2007/D-22,Meghalaya,Jaintia Hills,Tongseng slide,25.134194,92.383528,31 July 2007,2007-07-31,62.63999804481864
19902,MEGH/EKH/78O11/2009/D-37,Meghalaya,East Khasi Hills,Umstew landslide,25.300389,91.726722,29 June 2009,2009-06-29,88.81999822333455
19914,ML/SWKH/78O07/2014/01,Meghalaya,South West Khasi Hills,Tynnai Ground crack,25.3145809173584,91.45242309570312,6 August 2013,2013-08-06,38.83999922592193
19917,ME/EKJ/78O15/2015/140,Meghalaya,East Khasi Hills,,25.315176010131836,91.923021,19 July 2007,2007-07-19,73.09999886155128
19924,ME/EKJ/78O15/2015/134,Meghalaya,East Khasi Hills,,25.320833206176758,91.92749786376953,19 July 2007,2007-07-19,73.09999886155128
20036,MG/SGH/78K11/2018/7,Meghalaya,South Garo hills,Nengkhra-Nongalbibra road slide,25.403061,90.724166,18 August 2007,2007-08-18,8.18999982625246
20038,ME/EKJ/78O15/2015/87,Meghalaya,East Khasi Hills,,25.407917022705078,91.998889,18 August 2007,2007-08-18,1.4499999582767487
20055,MEGH/JH/78O15/2009/D-36,Meghalaya,Jaintia Hills,Laitlongkot slide,25.435609817504883,91.862056,17 July 2009,2009-07-17,15.72499977517873
20112,MEGH/WKH/78O06/2007/D-7,Meghalaya,West Khasi Hills,Mawkawah slide,25.519729614257812,91.28443145751953,25 July 2007,2007-07-25,176.3099947432056
20114,MEGH/WKH/78O06/2007/D-6,Meghalaya,West Khasi Hills,Lawab slide,25.52079963684082,91.25984954833984,25 July 2007,2007-07-25,176.3099947432056
20141,MEGH/EKH/83C02/2009/D-34,Meghalaya,East Khasi Hills,Puriang-4 slide,25.54231071472168,92.0999984741211,1 July 2009,2009-07-01,108.33699790760875
20142,MEGH/EKH/83C02/2009/D-31,Meghalaya,East Khasi Hills,Puriang slide,25.54261016845703,92.10867309570312,1 July 2009,2009-07-01,104.9504973301664
20143,MEGH/EKH/83C02/2009/D-35,Meghalaya,Jaintia Hills,Kongong-2 slide,25.54261016845703,92.09841918945312,1 July 2009,2009-07-01,108.33699790760875
20144,MEGH/EKH/83C02/2009/D-33,Meghalaya,East Khasi Hills,Puriang-3 slide,25.542640686035156,92.10214233398438,1 July 2009,2009-07-01,104.9504973301664
20148,MEGH/EKH/83C02/2009/D-32,Meghalaya,East Khasi Hills,Puriang-2 slide,25.54327964782715,92.10478210449219,1 July 2009,2009-07-01,104.9504973301664
20231,ML/EKH/78O14/2014/03,Meghalaya,East Khasi Hills,Barapathar,25.57822036743164,91.86544799804688,23 September 2014,2014-09-23,25.894998878240585
20350,MEG/RB/78O14/2017/01,Meghalaya,Ri-Bhoi,Tharia slide,25.663444,91.915944,17 June 2017,2017-06-17,45.59999870508909
20391,ME/EKJ/78O14/2015/23,Meghalaya,East Khasi Hills,,25.695552,91.903777,15 September 2007,2007-09-15,8.659999798983335
20460,ML/RIB/78O13/2014/04,Meghalaya,Ri-Bhoi,Umling,25.97256088256836,91.86241912841797,"2012, 05 October 2014 at 5:30 pm",2014-10-05,0.0
20469,ML/RIB/78N16/2014/06,Meghalaya,Ri-Bhoi,19 Mile,26.002939224243164,91.8669204711914,23 September 2014,2014-09-23,8.1799997985363
20474,ML/RIB/78N16/2014/02,Meghalaya,Ri-Bhoi,17 Mile B,26.025470733642578,91.87158203125,20 September 2014,2014-09-20,20.779999621212482
20491,ME/SWKH/78O07/2024/4,Meghalaya,South West Khasi Hills,Manad slide-1,25.29966926574707,91.4610824584961,15 June 2024,2024-06-15,128.6649987027049
20492,ME/SWKH/78O07/2024/5,Meghalaya,South West Khasi Hills,Manad slide-2,25.29667091369629,91.4598617553711,17 June 2024 at 6:00AM,2024-06-17,186.6199960866943
20493,ME/SWKH/78O07/2024/6,Meghalaya,South West Khasi Hills,Manad slide-3,25.297500610351562,91.461669921875,17 June 2024 (8:00 to 9:00 AM),2024-06-17,186.6199960866943
20494,ME/SWKH/78O072024/7,Meghalaya,South West Khasi Hills,Manad slide-4,25.29738998413086,91.4620132446289,17 June 2024,2024-06-17,186.6199960866943
20495,ME/SWKH/78O07/2024/8,Meghalaya,South West Khasi Hills,Lummawbah village slide,25.297779083251953,91.459716796875,15 June 2024(1:00 AM),2024-06-15,128.6649987027049
20496,ME/RIB/78O13/2024/09,Meghalaya,Ri-Bhoi,Umsamlem slide,25.8090877532959,91.875238,6 July 2025 at 10:20 hrs,2025-07-06,9.61499984562397
20497,ME/RIB/78O13/2024/10,Meghalaya,Ri-Bhoi,Umran Dairy slide,25.781246185302734,91.874475,6 July 2024,2024-07-06,0.4949999898672104
20499,ME/EKH/78O15/2025/01,Meghalaya,East Khasi Hills,11thMile slide 1,25.465167,91.824944,30 May 2025 at 05:40 AM,2025-05-30,80.9749988541007
20503,ME/EKH/78O15/2025/05,Meghalaya,East Khasi Hills,Lumkyntung landslide,25.45689582824707,91.826145,30 May 2025 (around 11.00 Hrs).,2025-05-30,80.9749988541007
20504,ME/EJH/83C08/2025/06,Meghalaya,East Jaintia Hills,DonarSkul landslide,25.048053741455078,92.409245,"2021,11 May 2025 around 10.30 pm",2025-05-11,5.389999924227595
20547,MEG/EKH/78O8/2019/07,Meghalaya,East Khasi Hills,Balat road slide - I,25.23211111,91.37252778,27 June 2019,2019-06-27,157.56999678444117
20548,MEG/EKH/78O8/2019/08,Meghalaya,East Khasi Hills,Balat road,25.22194444,91.38422222,27 June 2019,2019-06-27,157.56999678444117
20550,MEG/EKH/78O8/2019/10,Meghalaya,East Khasi Hills,Balat-Shella road,25.18766667,91.39816667,27 June 2019.,2019-06-27,121.07499756477773
20551,MEG/EKH/78O8/2019/11,Meghalaya,East Khasi Hills,Balat-Shella road,25.18688889,91.39855556,27 June 2019,2019-06-27,121.07499756477773
20553,MEG/WJH/83C3/2020/2,Meghalaya,West Jaintia Hills,Iawmusiang Wahthanad,25.44233333,92.19447222,26 May 2020,2020-05-26,198.02999517321587
20554,MEG/WJH/83C3/2020/3,Meghalaya,West Jaintia Hills,Iawmusiang Wahthanad,25.44177778,92.19558333,26 May 2020,2020-05-26,198.02999517321587
20557,MEG/WJH/83C3/2020/6,Meghalaya,West Jaintia Hills,Chilliangraij,25.43505556,92.19836111,26 May 2020,2020-05-26,198.02999517321587
20558,MEG/WJH/83C3/2020/7,Meghalaya,West Jaintia Hills,Salaroh,25.44741667,92.20138889,26 May 2020,2020-05-26,220.63999721221626
20559,MEG/WJH/83C3/2020/8,Meghalaya,West Jaintia Hills,Caroline colony,25.45075035095215,92.19452778,26 May 2020,2020-05-26,198.02999517321587
20560,MEG/WJH/83C3/2020/9,Meghalaya,West Jaintia Hills,Shillong-Agartala-Sabrum Rd,25.45351667,92.18784722,26 May 2020,2020-05-26,198.02999517321587
20575,MEG/SG/78K11/2022/01,Meghalaya,South Garo Hills,"Ramgmik gittam, Siju",25.36103333,91.64700833,17 June 2022 at 4.30 hrs,2022-06-17,119.20999688282609
20577,MEG/SG/78K12/2022/03,Meghalaya,South Garo Hills,Baghmara along the road.,25.21022222,90.63220278,17 June 2022,2022-06-17,129.65999688673764
20578,MEG/SG/78K03/2022/04,Meghalaya,West Garo Hills,Jibalgre village,25.38163333,90.06033889,9 June 2022 at 2.00hrs,2022-06-09,37.154998637735844
20579,MEG/SG/78K11/2022/05,Meghalaya,South Garo Hills,NongalBibra village,25.45939722,90.70860278,17 June 2022 at 3.000hrs,2022-06-17,102.18999690562487
20580,MEG/SG/78K11/2022/06,Meghalaya,South Garo Hills,Nongal Bibra village,25.45903056,90.70813333,17 June 2022 at 3.000hrs,2022-06-17,102.18999690562487
20581,MEG/EKH/78O11/2022/07,Meghalaya,East Khasi Hills,Nongsoung-Laitlarem road,25.44835090637207,91.59150278,"15 June 2022, 8.00 to 9.00hrs",2022-06-15,127.18499653041363
20582,MEG/EKH/78O11/2022/08,Meghalaya,East Khasi Hills,Nongsoung –Laitlarem road,25.44743611,91.59103889,"15 June 2022, 8.00 to 9.00hrs",2022-06-15,127.18499653041363
20583,MEG/EKH/78O11/2022/09,Meghalaya,East Khasi Hills,Nongspung – Laitlarem village road,25.44716111,91.59067778,"15 June 2022, 8.00 to 9.00hrs",2022-06-15,127.18499653041363
20587,MEG/EKH/78O15/2022/13,Meghalaya,East Khasi Hills,Umblai village,25.35861111,91.97208333,4 April 2022 at 7.00hrs,2022-04-04,68.6249979371205
20588,MEG/EKH/78O15/2022/14,Meghalaya,East Khasi Hills,Umblai village,25.35908333,91.97433333,4 April 2022 at 7.00hrs,2022-04-04,68.6249979371205
20591,MEG/WKH/78O6/2023-24/1,Meghalaya,West Khasi Hills,"Pyndengrei village, Nongstoin",25.52901389,91.26188611,17 June 2023 at 4:00 AM.,2023-06-17,65.53999843169004
20592,MEG/WJH/83C03/2023-24/2,Meghalaya,West Jaintia Hills,Pynthor Langtein village,25.41955556,92.16194444,10 August 2023,2023-08-10,0.4099999964237213
20595,6874,Meghalaya,South West Khasi Hills,Jakarm,25.37129167,91.48003056,15 June 2024,2024-06-15,133.23999750055373
20597,6891,Meghalaya,West Khasi Hills,Mawrok Sohsat,25.531739,91.296177,02 July 2024,2024-07-02,4.889999955892563
20598,ME/WKH/2025/6,Meghalaya,West Khasi Hills,Sohpian,25.540056228637695,91.314142,02 July 2024,2024-07-02,3.6199999898672104
20599,ME/WKH/2025/7,Meghalaya,East Khasi Hills,Mowing Rim,25.62790278,91.88801944,28 May 2024 at 4.00 hrs,2024-05-28,69.22499801591039
20600,ME/EKH/2025/8,Meghalaya,East Khasi Hills,Mowing Rim,25.630403,91.8899195,28 May 2024 at 4.00 hrs,2024-05-28,69.22499801591039
20601,ME/EKH/2025/9,Meghalaya,East Khasi Hills,Mowing Rim,25.630858,91.887601,28 May 2024 at 4.00 hrs,2024-05-28,69.22499801591039
20602,6890,Meghalaya,East Khasi Hills,Rymbai Petrol Pump(BPCL),25.641242,91.894137,02 July 2024,2024-07-02,4.534999817609787
20603,4694,Meghalaya,East Khasi Hills,Mowing Rim,25.65057222,91.89351389,02 July 2024,2024-07-02,4.534999817609787
20604,6889,Meghalaya,East Khasi Hills,Umiam Lake,25.64887222,91.89692778,02 July 2024,2024-07-02,4.534999817609787
20605,6885,Meghalaya,East Khasi Hills,Mawphlang,25.44693056,91.74096667,"28 May 2024, morning",2024-05-28,62.45999825000763
20606,ME/EKH/2025/14,Meghalaya,East Khasi Hills,Ummawiong,25.41384722,91.67856111,"28 May 2024, morning",2024-05-28,63.20999882929027
20607,6884,Meghalaya,East Khasi Hills,Mawlynnu(Sixteen),25.34508889,91.60050278,"28 May 2024, morning",2024-05-28,69.87999748066068
20612,ME/EKH/2025/20,Meghalaya,East Khasi Hills,Umiam Hydal Project,25.65308889,91.89803889,01 July 2024,2024-07-01,185.3649948835373
20613,4699,Meghalaya,East Khasi Hills,Umiam Hydal Project,25.65341111,91.89819444,01 July 2024,2024-07-01,185.3649948835373
20616,ME/RIB/2025/24,Meghalaya,Ri-Bhoi,Umiam Flyover,25.67517222,91.89830017089844,30 June 2024,2024-06-30,190.39499678462744
20621,ME/EWK/2026/29,Meghalaya,Eastern-West Khasi Hill,Umkrem,25.49551944,91.49585278,02 July 2025,2025-07-02,35.449998915195465
20630,7242,Meghalaya,West Khasi Hills,,25.62269444,91.16914444,02 July 2024,2024-07-02,6.794999867677689
20631,ME/WKH/2026/39,Meghalaya,West Khasi Hills,,25.61276111,91.17375278,02 July 2024,2024-07-02,6.794999867677689
20632,7243,Meghalaya,West Khasi Hills,,25.66156667,91.13485278,02 July 2024,2024-07-02,6.794999867677689
20643,ME/EWK/2026/51,Meghalaya,Eastern-West Khasi Hill,,25.688833236694336,91.653639,25 June 2025,2025-06-25,21.98999983072281
20647,7248,Meghalaya,Eastern-West Khasi Hill,Mawiongkhri,25.6900691986084,91.67085266113281,11 June 2025,2025-06-11,18.15499946475029
20655,7598,Meghalaya,South West Garo Hills,Betasing,25.56742286682129,89.979711,13 July 2026,2026-07-13,34.179999395273626
20656,3442,Meghalaya,East Khasi Hills,Pohkseh,25.566518,91.914509,19 August 2025,2025-08-19,8.619999825954437
22755,MZ/AZL/84A10/2024/055,Mizoram,Aizawl,,23.64638889,92.72638889,02 October 2023,2023-10-02,11.699999421834946
23714,MIZ/AZL/84A10/2025/002,Mizoram,Aizawl,,23.6868033,92.7251987,29 May 2025,2025-05-29,40.169998832046986
23715,MIZ/AZL/84A10/2025/003,Mizoram,Aizawl,,23.7002691,92.7181685,13 May 2025,2025-05-13,0.0
23720,MIZ/AZL/84A14/2025/008,Mizoram,Aizawl,,23.730243,92.75602722167969,"2020, 30 May 2025 (Morning)",2025-05-30,110.38499706145376
23722,MIZ/AZL/84A09/2025/010,Mizoram,Aizawl,,23.758901,92.730863,30 May 2025(early morning),2025-05-30,110.38499706145376
23723,MIZ/AZL/84A09/2025/011,Mizoram,Aizawl,,23.755925,92.726753,24 May 2025,2025-05-24,6.819999884814024
23743,MIZ/SER/84A12/2025/031,Mizoram,Serchhip,,23.235715866088867,92.744499,31 May 2025 at 3am,2025-05-31,56.774998277425766
23789,MIZ/LUNG/84B09/2025/077,Mizoram,Lunglei,,22.895235061645508,92.747812,02 June 2025,2025-06-02,3.5100000090897083
23804,MIZ/SER/84A16/2025/092,Mizoram,Serchhip,,23.193401336669922,92.900218,29 May 2025,2025-05-29,52.87999863177538
23808,MIZ/SER/84A16/2025/096,Mizoram,Serchhip,,23.322010040283203,92.85822296142578,31 May 2025 at 02:25am,2025-05-31,45.299998921342194
23830,MIZ/SER/84A15/2025/118,Mizoram,Serchhip,,23.304746,92.862109,08 June 2025,2025-06-08,25.849999331869185
23842,MIZ/SER/84A15/2025/130,Mizoram,Serchhip,,23.298137,92.857412,29 May 2025,2025-05-29,47.71999882906675
23942,MIZ/CHAM/84E08/2025/230,Mizoram,Champhai,,23.148208618164062,93.321183,31 May 2025 (4:15am),2025-05-31,16.264999664388597
23944,MIZ/KHAW/84E03/2025/232,Mizoram,Khawzawl,,23.486306,93.220639,12 June 2025,2025-06-12,0.0
23945,MIZ/KHAW/84E02/2025/233,Mizoram,Khawzawl,,23.544052124023438,93.155591,14 June 2025,2025-06-14,15.209999676793814
23946,MIZ/KHAW/84E02/2025/234,Mizoram,Khawzawl,,23.545766,93.147931,14 June 2025,2025-06-14,15.209999676793814
23947,MIZ/KHAW/84E02/2025/235,Mizoram,Khawzawl,,23.526599884033203,93.192968,14 June 2025,2025-06-14,15.209999676793814
23948,MIZ/SAI/84A14/2025/236,Mizoram,Saitual,,23.667552947998047,92.89259338378906,15 June 2025,2025-06-15,54.30499860551208
23950,MIZ/AIZ/84A14/2025/238,Mizoram,Aizawl,,23.700835,92.877449,15 June 2025,2025-06-15,72.48999758530408
23953,MIZ/AIZ/83D15/2025/241,Mizoram,Aizawl,,24.285871,92.94599151611328,14 June 2025,2025-06-14,28.109999030828476
23954,MIZ/AIZ/83D15/2025/242,Mizoram,Aizawl,,24.288014,92.946017,14 June 2025,2025-06-14,28.109999030828476
23955,MIZ/AIZ/83D15/2025/243,Mizoram,Aizawl,,24.354658126831055,92.925511,29 May 2025,2025-05-29,31.029999263584614
23957,MIZ/AIZ/84A14/2025/245,Mizoram,Aizawl,,23.74751853942871,92.853155,15 June 2025,2025-06-15,72.48999758530408
23971,MZ/AZL/84A/10/2023/01,Mizoram,Aizawl,Vaivakawn landslide,23.74150833,92.70785833,04 June 2023,2023-06-04,0.0
23979,MZ/AZL/84A10/2016/01,Mizoram,Aizawl,Tlungvel slide,23.60830556,92.85058333,17 September 2016,2016-09-17,5.924999877810478
23986,MIZ/AZL/84A11/2025/010,Mizoram,Aizawl,,23.468799591064453,92.7208023071289,02 January 2025,2025-01-02,0.0
23995,MIZ/AZL/84A11/2025/023,Mizoram,Aizawl,,23.494600296020508,92.70439910888672,25 August 2024,2024-08-25,10.744999898597598
23999,MIZ/SER/84A12/2025/027,Mizoram,Serchhip,,23.239287,92.74817657470703,02 June 2025,2025-06-02,2.4199999207630754
24000,MIZ/SER/84A12/2025/028,Mizoram,Serchhip,,23.237356185913086,92.744978,05 June 2025,2025-06-05,0.0
24002,MIZ/LUN/84A12/2025/030,Mizoram,Lunglei,,23.230113983154297,92.740067,02 June 2025,2025-06-02,2.4199999207630754
24003,MIZ/LUN/84A12/2025/031,Mizoram,Lunglei,,23.229731,92.73967742919922,24 May 2025,2025-05-24,0.5449999794363976
24004,MIZ/LUN/84A12/2025/032,Mizoram,Lunglei,,23.226842880249023,92.740266,02 June 2025,2025-06-02,2.4199999207630754
24005,MIZ/LUN/84A12/2025/033,Mizoram,Lunglei,,23.225357055664062,92.74038696289062,06 June 2025,2025-06-06,0.4299999848008156
24014,MIZ/LUN/84A12/2025/044,Mizoram,Lunglei,,23.201335,92.734857,02 June 2025,2025-06-02,2.4199999207630754
24015,MIZ/LUN/84A12/2025/045,Mizoram,Lunglei,,23.201614379882812,92.734453,02 June 2025,2025-06-02,2.4199999207630754
24016,MIZ/LUN/84A12/2025/046,Mizoram,Lunglei,,23.201759,92.734328,02 June 2025,2025-06-02,2.4199999207630754
24048,MIZ/LUN/84A12/2025/093,Mizoram,Lunglei,,23.164812088012695,92.743396,02 June 2025,2025-06-02,2.124999947845936
24072,MIZ/LUN/84A16/2025/119,Mizoram,Lunglei,,23.1414737701416,92.750577,29 May 2025,2025-05-29,50.25999861955643
