record_id,sample_id,latitude,longitude,state,elevation_m,slope_deg,aspect_deg,lulc_class,clay_surface_pct,road_distance_m,settlement_distance_m,label,sample_type
L_791,791,25.10727778,92.88313889,Assam,318,11,48,30,29.0,3.761690269197414,322.51727211316745,1,landslide
L_792,792,25.10622222,92.8844985961914,Assam,319,15,19,10,29.0,2.0656683556585897,448.29665197332287,1,landslide
L_788,788,26.15958333,91.72388889,Assam,184,15,161,10,29.0,116.71927102869658,2807.4394263218683,1,landslide
L_789,789,26.15166667,91.73138889,Assam,51,1,180,50,30.0,13.105736643292987,3675.897929041517,1,landslide
L_790,790,26.15544444,91.6790008544922,Assam,55,2,294,40,26.0,152.42649982854536,1755.775489009097,1,landslide
L_18716,18716,24.81722068786621,93.51721954345705,Manipur,444,36,44,10,28.0,667.7451908106019,1198.966893774471,1,landslide
L_19019,19019,24.99694061279297,93.5022201538086,Manipur,1186,15,108,10,30.0,126.13747985034144,1240.0518470413317,1,landslide
L_19675,19675,25.12186050415039,92.388583,Meghalaya,135,27,319,10,27.0,348.6279663506772,6977.47666328497,1,landslide
L_20108,20108,25.51028060913086,90.21678161621094,Meghalaya,324,13,157,50,28.0,115.10675663336662,255.57141071364524,1,landslide
L_20524,20524,25.36497222,91.02411111,Meghalaya,398,13,240,10,29.0,6727.030941132909,22354.30879027808,1,landslide
L_20525,20525,25.26361111,92.38557778,Meghalaya,844,15,176,10,33.0,146.95155769688157,9988.322567270605,1,landslide
L_20526,20526,25.26005556,92.38863889,Meghalaya,792,12,248,10,34.0,290.70348837209957,9495.866674559262,1,landslide
L_20527,20527,25.14702778,92.37883333,Meghalaya,191,17,216,10,31.0,219.40669987437465,6942.401475152834,1,landslide
L_20528,20528,25.14702778,92.37883333,Meghalaya,191,17,216,10,31.0,219.40669987437465,6942.401475152834,1,landslide
L_20529,20529,25.14341667,92.37805556,Meghalaya,206,28,47,10,29.0,28.26557503853654,7085.077525900284,1,landslide
L_20530,20530,25.13427778,92.38511111,Meghalaya,140,22,90,10,31.0,19.35293102689595,6675.235733205218,1,landslide
L_20531,20531,25.09022222,92.35805556,Meghalaya,151,27,293,10,26.0,123.19392467478032,8545.629894030397,1,landslide
L_20532,20532,25.09055556,92.35972222,Meghalaya,203,21,303,10,26.0,21.316185166535146,8430.957994703702,1,landslide
L_20511,20511,25.57711111,91.88141667,Meghalaya,1484,3,36,50,31.0,27.11533424047872,185.1627702255533,1,landslide
L_20521,20521,25.05108333,92.40219444,Meghalaya,64,9,192,10,31.0,9.607530461726418,2588.5242664520897,1,landslide
L_20533,20533,25.08772222,92.36086111,Meghalaya,431,23,211,10,27.0,244.779806313926,8154.892661494985,1,landslide
L_20522,20522,25.04305556,92.42041667,Meghalaya,149,17,148,50,31.0,3.839078124609397,728.5079997456826,1,landslide
L_20534,20534,26.00361111,92.86361111,Meghalaya,77,1,132,10,29.0,40.69072062350191,1133.9394872428811,1,landslide
L_20523,20523,25.04222222,92.44127778,Meghalaya,281,22,146,10,31.0,5.506787063270391,1474.3462033916428,1,landslide
L_20535,20535,25.53086111,91.29780556,Meghalaya,1465,20,337,10,31.0,116.90117769763675,3277.525972164825,1,landslide
L_20512,20512,25.56183333,91.86855556,Meghalaya,1546,15,340,10,30.0,4.461516977246604,2122.108133953446,1,landslide
L_20513,20513,25.57188889,91.90127778,Meghalaya,1520,15,76,50,29.0,6.267129163782653,1912.2149740110392,1,landslide
L_20514,20514,25.56852778,91.89219444,Meghalaya,1532,6,107,30,31.0,0.032399682515831,1255.6346803635893,1,landslide
L_20515,20515,25.13561111,92.38050079345705,Meghalaya,178,24,46,50,31.0,13.986783924983529,7064.319868399927,1,landslide
L_20516,20516,25.13561111,92.38050079345705,Meghalaya,178,24,46,50,31.0,13.986783924983529,7064.319868399927,1,landslide
L_20517,20517,25.13561111,92.38050079345705,Meghalaya,178,24,46,50,31.0,13.986783924983529,7064.319868399927,1,landslide
L_20518,20518,25.13486111,92.38200378417967,Meghalaya,162,36,17,10,31.0,8.937538898489702,6947.558662555351,1,landslide
L_20519,20519,25.12383333,92.38519444,Meghalaya,93,47,101,10,29.0,32.6223489534778,7158.639864625393,1,landslide
L_20520,20520,25.07533333,92.36341667,Meghalaya,156,25,147,50,30.0,12.15173307109374,7223.949563939361,1,landslide
L_19577,19577,25.67341667,91.06625366210938,Manipur,940,16,60,50,29.0,16.029335427311263,1400.444590461604,1,landslide
L_19578,19578,25.67469444,91.88652778,Manipur,1062,5,180,50,28.0,25.80786815156416,2808.5050241110303,1,landslide
L_19582,19582,24.86469444,93.62116667,Manipur,350,9,174,10,30.0,17.64678868813361,585.147922532716,1,landslide
L_19583,19583,24.86297222,93.62397222,Manipur,344,21,127,50,29.0,0.6845831461180976,340.27080992239763,1,landslide
L_19584,19584,24.73133333,93.92738889,Manipur,784,8,123,50,36.0,15.937060652762112,1659.5762501141248,1,landslide
L_19579,19579,24.82908333,93.50694444,Manipur,360,23,236,10,30.0,10.357538796828212,2118.3334010922613,1,landslide
L_19580,19580,24.84563889,93.50202778,Manipur,355,20,183,10,29.0,145.23398100852395,824.3352203584316,1,landslide
L_19581,19581,24.86461111,93.59888889,Manipur,414,20,95,30,29.0,62.239439678021085,1034.4398126620474,1,landslide
L_23972,23972,23.92322222,92.49222222,Mizoram,852,20,95,50,29.0,45.29554633302936,810.5484924828025,1,landslide
L_23973,23973,22.49086111,92.98086111,Mizoram,1060,18,328,50,29.0,7.80376408000079,106.3947715878516,1,landslide
L_23974,23974,22.48541667,92.98238889,Mizoram,1048,21,309,10,33.0,37.29232859910715,516.9332110205593,1,landslide
L_23975,23975,23.88591667,93.20961111,Mizoram,1200,29,251,30,30.0,63.06987288411586,187.19434060519305,1,landslide
L_23976,23976,23.70213889,92.71822222,Mizoram,1076,41,43,30,30.0,8.356626243334318,2836.9754087712913,1,landslide
L_24968,24968,25.899999618530273,94.78916931152344,Nagaland,1047,25,51,10,34.0,356.9689969517754,1497.0157091074525,1,landslide
L_24950,24950,25.886669158935547,94.78639221191406,Nagaland,1176,4,228,50,32.0,80.93789299287833,8.038706319335386,1,landslide
L_24589,24589,25.686670303344727,94.06360626220705,Nagaland,1064,12,10,10,27.0,137.3575662152677,1387.4810569078788,1,landslide
L_25434,25434,26.270280838012695,94.75,Nagaland,1446,25,51,10,31.0,298.8797490612461,7316.124197121848,1,landslide
L_25487,25487,26.34416961669922,94.83332824707033,Nagaland,1746,11,228,10,29.0,150.5706204733679,5627.660399813505,1,landslide
L_25970,25970,26.22633333,94.81302778,Nagaland,1676,14,343,10,29.0,13.060336270032762,1449.665933697525,1,landslide
L_25971,25971,26.22480556,94.81236111,Nagaland,1750,20,54,10,30.0,18.78291066582189,1626.1301244334932,1,landslide
L_25972,25972,26.26336111,94.81563889,Nagaland,1293,13,29,50,29.0,14.511174974796482,2663.9878201704373,1,landslide
L_25973,25973,26.18302778,94.81619444,Nagaland,1941,16,70,10,32.0,222.8700664778256,809.89486489191,1,landslide
L_25974,25974,26.28908333,94.61005556,Nagaland,983,20,257,10,29.0,213.86617349836152,1684.396701150061,1,landslide
L_25975,25975,25.68002778,94.07266667,Nagaland,1265,20,312,10,26.0,220.34520006221712,1217.7042583392258,1,landslide
L_25976,25976,25.67005556,94.11299896240234,Nagaland,1341,8,7,10,34.0,60.99543757290192,1434.7244126040566,1,landslide
L_25977,25977,25.68436111,94.20497222,Nagaland,919,29,153,50,34.0,11.862876212760254,1754.0381160533266,1,landslide
L_25978,25978,25.68133333,94.20877778,Nagaland,824,15,19,10,35.0,153.4580566991992,1722.3983394941145,1,landslide
L_25979,25979,25.67275047302246,94.21136111,Nagaland,792,12,155,10,33.0,109.62886035191369,1520.8019454170192,1,landslide
L_25980,25980,25.66666667,94.19602778,Nagaland,1070,21,310,10,34.0,256.1692879030424,432.7128947052099,1,landslide
L_26897,26897,23.899999618530273,91.75622222,Tripura,201,29,130,10,26.0,3.0352018122356443,5412.643589523645,1,landslide
L_26898,26898,23.89569444,91.76525115966795,Tripura,244,16,273,10,26.0,6.81464425802983,6145.27240784066,1,landslide
L_26899,26899,23.88888889,91.78888889,Tripura,146,19,336,50,26.0,10.497879492159202,7301.827263583717,1,landslide
L_26900,26900,23.91200065612793,91.83852778,Tripura,82,2,29,10,29.0,7.706269155387043,1669.7983100345623,1,landslide
L_22872,22872,23.74111111,92.71083333,Mizoram,823,24,283,30,30.0,3.9264708865483113,1648.19635639127,1,landslide
L_22900,22900,23.739999771118164,92.71416667,Mizoram,986,38,296,10,28.0,3.3898791817218292,1409.7985947003172,1,landslide
L_22905,22905,23.75861111,92.73261111,Mizoram,1169,28,289,10,30.0,110.04398233156174,2598.4970635431528,1,landslide
L_22873,22873,23.74194444,92.71027778,Mizoram,784,16,298,10,30.0,59.0891541567693,1756.017070924794,1,landslide
L_22915,22915,23.77166667,92.760498046875,Mizoram,1138,28,282,10,32.0,6.213581019710153,3528.7597059111554,1,landslide
L_22916,22916,23.77161111,92.75913889,Mizoram,1056,26,270,10,34.0,7.028713127370529,3399.4875508858554,1,landslide
L_22874,22874,23.73041667,92.75552778,Mizoram,929,23,33,10,29.0,50.88140341637678,3836.776708945869,1,landslide
L_22920,22920,23.73241667,92.71480556,Mizoram,999,22,244,50,31.0,24.217563134124035,609.1707284380637,1,landslide
L_22921,22921,23.73053889,92.716019,Mizoram,1040,30,272,50,31.0,9.93795833602438,367.41023048474824,1,landslide
L_22922,22922,23.73055556,92.71527778,Mizoram,991,19,281,50,31.0,7.53492754998308,415.0443979466921,1,landslide
L_22924,22924,23.750049591064453,92.7354965209961,Mizoram,1036,42,288,10,33.0,10.490435365111717,3044.592326573692,1,landslide
L_22931,22931,23.718730926513672,92.72297668457033,Mizoram,973,23,63,50,29.0,13.096518426898784,1121.512179841288,1,landslide
L_22932,22932,23.71824073791504,92.72271728515624,Mizoram,985,22,106,50,29.0,18.988398316035905,1158.9288494633483,1,landslide
L_22933,22933,23.74256944,92.73774444,Mizoram,911,34,231,10,32.0,35.348982178689795,2595.907246833823,1,landslide
L_22936,22936,23.93202778,92.87436111,Mizoram,486,34,192,10,31.0,1024.460659418683,5510.000168558261,1,landslide
L_22942,22942,23.73200035095215,92.75963889,Mizoram,836,31,324,10,30.0,8.995847988717015,4142.006978590788,1,landslide
L_26796,26796,27.26352778,88.19047222,Sikkim,1066,34,342,10,23.0,6.200284243396401,1209.1594397534377,1,landslide
L_25781,25781,25.7802266,93.93616485595705,Nagaland,913,26,290,10,32.0,5.904760528927137,3292.16048895774,1,landslide
L_25782,25782,25.7746019,93.9148756,Nagaland,674,32,158,60,30.0,15.89307854514241,3555.3020715880652,1,landslide
L_20488,20488,25.5667327,91.9146185,Meghalaya,1537,7,36,60,31.0,24.722987879281153,2848.6484630737955,1,landslide
L_20486,20486,25.47704743,92.16831285,Meghalaya,1405,10,287,10,32.0,517.2673239557929,1982.470736079656,1,landslide
L_20489,20489,25.28422636,92.11294194,Meghalaya,1036,9,346,30,31.0,13.695933657949706,651.8466701234786,1,landslide
L_25786,25786,25.623067,94.114196,Nagaland,1593,28,58,10,30.0,27.25117417344452,768.9093728103371,1,landslide
L_20603,20603,25.65057222,91.89351389,Meghalaya,1135,23,295,50,25.0,6.497627004025315,4076.837792424144,1,landslide
L_20609,20609,25.65443889,91.62390833,Meghalaya,1469,11,355,10,29.0,52.6172554608995,3768.8966285782712,1,landslide
L_20610,20610,25.65443889,91.63345833,Meghalaya,1436,4,132,30,30.0,11.577668913271442,3567.758952836668,1,landslide
L_20611,20611,25.65977222,91.63440556,Meghalaya,1407,5,90,30,27.0,10.92201328344077,2971.604754318293,1,landslide
L_20613,20613,25.65341111,91.89819444,Meghalaya,1026,29,71,30,28.0,12.243084864686615,3584.926624893455,1,landslide
L_20615,20615,25.67032222,91.90487222,Meghalaya,1003,14,301,10,29.0,8.41760977707415,1611.4273928248006,1,landslide
L_20618,20618,25.30127778,91.92198889,Meghalaya,1208,27,335,10,30.0,23.18038459964067,1392.2166701440724,1,landslide
L_26907,26907,24.485559463500977,92.212277,Tripura,35,12,316,10,28.0,73.36362004858114,3388.18240801403,1,landslide
L_26910,26910,24.314206,92.225824,Tripura,88,7,114,10,28.0,1317.3765181115057,7221.366714344183,1,landslide
L_26913,26913,24.356023,92.225478,Tripura,64,12,309,10,26.0,46.36718267435733,6242.279221416878,1,landslide
L_26914,26914,24.401199340820312,92.237233,Tripura,52,3,107,10,29.0,53.94590152017452,1941.1738494257183,1,landslide
L_26915,26915,24.413873,92.241309,Tripura,57,2,180,10,28.0,69.14310769366202,1284.712187847873,1,landslide
L_26917,26917,24.419026,92.242991,Tripura,54,9,281,10,28.0,25.025910594650668,1417.093861981538,1,landslide
L_19590,19590,24.786937713623047,93.657893,Manipur,549,20,98,10,31.0,21.824374956551075,744.8450250624234,1,landslide
L_19591,19591,24.788159,93.663215,Manipur,478,33,289,10,31.0,18.04616870634852,555.617562419938,1,landslide
L_19592,19592,24.786357,93.657951,Manipur,600,32,64,10,35.0,15.324752503563795,696.8556657489556,1,landslide
L_19594,19594,24.791125,93.7252197265625,Manipur,1043,29,11,10,27.0,10.28054431350481,509.89891666727095,1,landslide
L_19597,19597,24.794492721557617,93.652745,Manipur,474,24,35,10,30.0,2.8115695466681476,1427.9866677897708,1,landslide
L_19598,19598,24.787526,93.662891,Manipur,470,33,276,10,31.0,2.1236072932467844,587.6687891244196,1,landslide
L_19599,19599,24.789504,93.66384887695312,Manipur,484,32,291,10,31.0,10.845540783749628,401.2800139567725,1,landslide
L_19601,19601,24.863924026489254,93.617853,Manipur,382,37,168,10,30.0,20.69434539037159,733.829493887905,1,landslide
L_19602,19602,24.862146377563477,93.595644,Manipur,423,37,172,30,31.0,18.167507331451844,612.9243174258795,1,landslide
L_19603,19603,24.859576,93.576244,Manipur,417,27,192,10,32.0,15.761083632304905,1420.311047216103,1,landslide
L_20595,20595,25.37129167,91.48003056,Meghalaya,1567,10,228,30,28.0,11.467269029408444,1516.0288522416886,1,landslide
L_20607,20607,25.34508889,91.60050278,Meghalaya,1713,35,106,10,27.0,1.349268863316884,2310.97755782835,1,landslide
L_20605,20605,25.44693056,91.74096667,Meghalaya,1730,15,27,30,32.0,7.339346171688782,1989.254156345484,1,landslide
L_20604,20604,25.64887222,91.89692778,Meghalaya,1083,19,198,10,29.0,3.9572347977651985,4096.115963039229,1,landslide
L_20602,20602,25.641242,91.894137,Meghalaya,1212,10,287,10,25.0,3.373232896889662,4983.781121893398,1,landslide
L_20597,20597,25.531739,91.296177,Meghalaya,1460,25,176,30,31.0,10.739324210259388,3168.064850517488,1,landslide
L_842,842,25.757752,91.252285,Assam,769,20,114,10,31.0,1634.7332509475,17974.539009579945,1,landslide
L_844,844,25.872268,91.213965,Assam,253,33,312,10,31.0,696.0087990093472,11499.081682841112,1,landslide
L_845,845,26.2272613,91.6922458,Assam,67,12,0,10,29.0,77.88613133937906,4009.8797644871743,1,landslide
L_847,847,26.246980667114254,91.964383,Assam,62,16,307,10,27.0,8.271288937766087,910.5781962457204,1,landslide
L_850,850,25.64851188659668,93.121528,Assam,344,17,224,50,27.0,3.0464279671315113,2018.5514591500248,1,landslide
L_851,851,25.38897705078125,93.121008,Assam,305,6,190,30,27.0,0.2608960953238461,1620.7089501938956,1,landslide
L_853,853,25.34147834777832,93.133718,Assam,300,17,305,50,31.0,7.08998470561893,213.64127359271927,1,landslide
L_854,854,25.888959,92.61669158935548,Assam,458,20,153,10,33.0,9.108943847421424,6423.3386392820275,1,landslide
L_855,855,25.890031814575195,92.621245,Assam,462,15,127,10,33.0,14.019487093764743,6816.219503602715,1,landslide
L_20625,20625,25.68591944,91.90256667,Meghalaya,938,22,350,10,29.0,17.00834307014389,1102.615345478906,1,landslide
L_20626,20626,25.71165556,91.89512778,Meghalaya,862,21,256,10,31.0,10.489143197405555,2185.8361792059095,1,landslide
L_20627,20627,25.75297778,91.88535278,Meghalaya,819,17,106,30,30.0,50.330344527569935,663.1058856289637,1,landslide
L_20628,20628,25.79744444,91.87408611,Meghalaya,642,23,257,10,26.0,29.09077811629258,4641.010247246724,1,landslide
L_20630,20630,25.62269444,91.16914444,Meghalaya,1222,6,209,30,31.0,33.85003822264988,5338.851571302791,1,landslide
L_20632,20632,25.66156667,91.13485278,Meghalaya,1145,11,235,10,30.0,21.355966413149932,7342.556049377797,1,landslide
L_20633,20633,25.69150833,91.64160833,Meghalaya,1338,1,48,30,30.0,22.64247371986334,762.2058300207985,1,landslide
L_20638,20638,25.69683611,91.64485556,Meghalaya,1246,32,123,10,26.0,32.90267512609278,1424.255321576217,1,landslide
L_20647,20647,25.6900691986084,91.6708526611328,Meghalaya,888,6,126,30,27.0,7.828266804525565,3484.652625168705,1,landslide
L_20648,20648,25.733262,91.675754,Meghalaya,742,16,198,30,30.0,27.276347556764776,6512.474132501309,1,landslide
L_20649,20649,25.762051,91.658959,Meghalaya,796,6,287,30,33.0,372.2845972359804,8665.824035438618,1,landslide
L_20651,20651,25.791616439819336,91.658242,Meghalaya,743,9,84,10,29.0,7.406675447703764,11843.897988535236,1,landslide
L_26046,26046,26.526817321777344,94.675462,Nagaland,714,32,84,50,28.0,10.879096070348066,988.2068550818082,1,landslide
L_20655,20655,25.56742286682129,89.979711,Meghalaya,47,13,240,50,25.0,2.4164065472692022,4528.293488472546,1,landslide
L_26047,26047,25.570159,94.253552,Nagaland,1854,27,209,50,33.0,2.540816610101732,2958.217542205081,1,landslide
L_905,905,27.086667,92.585278,Arunachal Pradesh,299,38,169,10,30.0,3.9605342804044503,236.2670863840705,1,landslide
L_911,911,27.093889,92.591389,Arunachal Pradesh,265,30,42,10,29.0,295.0987983739004,222.5280590433386,1,landslide
L_1124,1124,27.345556259155273,92.266389,Arunachal Pradesh,1581,30,28,30,23.0,17.896355154744846,581.2076634178682,1,landslide
L_1450,1450,28.062999725341797,96.49913787841795,Arunachal Pradesh,505,5,260,80,21.0,231.48409970705765,690.4331667365418,1,landslide
L_1449,1449,28.062440872192383,96.49774932861328,Arunachal Pradesh,507,15,176,80,21.0,156.1240807944076,598.5341811250828,1,landslide
L_1448,1448,28.061309814453125,96.49256134033205,Arunachal Pradesh,492,4,120,80,18.0,145.83768409740117,454.2937644970324,1,landslide
L_1446,1446,28.05997085571289,96.48664093017578,Arunachal Pradesh,495,2,210,80,21.0,245.47711674597184,719.1332384971714,1,landslide
L_1429,1429,28.017810821533203,96.4427490234375,Arunachal Pradesh,437,5,193,10,25.0,378.6293767708345,964.8852038474178,1,landslide
L_1447,1447,28.060060501098633,96.44635772705078,Arunachal Pradesh,652,41,213,10,22.0,89.48403092199541,1080.384867380546,1,landslide
L_1424,1424,28.0061092376709,96.42871856689452,Arunachal Pradesh,444,18,193,10,24.0,107.27890578482015,628.7447645194334,1,landslide
L_1718,1718,28.273780822753903,96.5703125,Arunachal Pradesh,1704,39,234,10,19.0,294.6475782189576,776.9554013974457,1,landslide
L_1563,1563,28.18524932861328,96.53256225585938,Arunachal Pradesh,1079,29,249,10,23.0,155.18647442576884,2226.0207048691,1,landslide
L_1451,1451,28.063560485839844,96.50074768066406,Arunachal Pradesh,515,22,272,10,21.0,369.1827389358804,692.2082210100455,1,landslide
L_1420,1420,27.987470626831055,96.4113311767578,Arunachal Pradesh,401,37,147,80,27.0,100.00300587559782,674.1507631658089,1,landslide
L_1418,1418,27.98332977294922,96.40432739257812,Arunachal Pradesh,390,10,315,80,27.0,299.9253529890055,1103.6096374222236,1,landslide
L_1400,1400,27.93967056274414,96.38096618652344,Arunachal Pradesh,1579,22,270,10,26.0,261.0600392886893,4508.334070098235,1,landslide
L_1409,1409,27.95672035217285,96.39697265625,Arunachal Pradesh,892,26,86,10,27.0,31.398837964218306,2426.1850862098004,1,landslide
L_1408,1408,27.956029891967773,96.40267181396484,Arunachal Pradesh,645,37,154,10,26.0,80.19971267308698,2616.53140127637,1,landslide
L_1412,1412,27.96324920654297,96.40097045898438,Arunachal Pradesh,526,33,34,10,27.0,70.60659169250458,1804.8866365657852,1,landslide
L_1411,1411,27.959640502929688,96.40177917480467,Arunachal Pradesh,722,22,71,10,23.0,83.09076341345892,2208.669461798453,1,landslide
L_1938,1938,27.105253219604492,93.825399,Arunachal Pradesh,172,32,115,60,28.0,66.84447164692558,414.978223154056,1,landslide
L_1120,1120,27.339267,93.802581,Arunachal Pradesh,789,26,24,10,24.0,7.337163430292959,2710.483640557976,1,landslide
L_1103,1103,27.307071685791016,93.806008,Arunachal Pradesh,728,31,96,60,31.0,2.995548134447525,5166.817135295812,1,landslide
L_999,999,27.193425,93.780983,Arunachal Pradesh,225,56,24,10,28.0,4.487428185599793,2674.511183670891,1,landslide
L_1082,1082,27.294885635375977,93.803328,Arunachal Pradesh,646,50,109,30,28.0,12.095420718137946,3791.166141242515,1,landslide
L_1049,1049,27.254756,93.801303,Arunachal Pradesh,288,38,357,10,28.0,15.413800054815065,875.5329697803901,1,landslide
L_1042,1042,27.246131,93.804711,Arunachal Pradesh,270,25,86,50,28.0,4.330684705899049,1872.0044807912109,1,landslide
L_1033,1033,27.23995018005371,93.806589,Arunachal Pradesh,270,23,160,10,27.0,23.33998527637009,2571.377084630344,1,landslide
L_1218,1218,27.58741667,91.88694444,Arunachal Pradesh,2587,5,100,30,20.0,27.72359312713493,510.2418286602576,1,landslide
L_1241,1241,27.587417,91.886944,Arunachal Pradesh,2587,5,100,30,20.0,27.77659873633692,510.2392809169438,1,landslide
L_1264,1264,27.596639,91.878972,Arunachal Pradesh,2883,18,134,30,22.0,18.54687974941769,856.4042317499991,1,landslide
L_1265,1265,27.596639,91.878972,Arunachal Pradesh,2883,18,134,30,22.0,18.54687974941769,856.4042317499991,1,landslide
L_878,878,27.018342,92.6355972290039,Arunachal Pradesh,221,15,108,30,27.0,64.06814322649213,511.9730658437824,1,landslide
L_619,619,24.967559814453125,92.7439193725586,Assam,34,14,146,10,25.0,5.77971129289009,3916.2952514184135,1,landslide
L_620,620,24.95793914794922,92.73200988769533,Assam,41,8,249,10,26.0,110.88515941864712,3145.0871340246654,1,landslide
L_616,616,24.57257080078125,92.7035675048828,Assam,58,16,254,10,29.0,12.172460976153843,430.61020793280267,1,landslide
L_800,800,26.158193,91.755807,Assam,56,3,0,10,28.0,0.565172319642248,2488.706496780491,1,landslide
L_35,35,24.710832595825195,92.481167,Assam,48,18,284,10,26.0,187.3632925874088,1407.7631098365434,1,landslide
L_474,474,26.11266708374023,91.853889,Assam,188,27,294,10,27.0,7.824036858357273,2770.859096534118,1,landslide
L_243,243,25.229556,93.15560150146484,Assam,466,19,136,10,29.0,959.0583314668957,915.4460220188196,1,landslide
L_521,521,26.20261001586914,91.14527893066406,Assam,37,0,0,60,23.0,4889.857618548894,6080.22669351952,1,landslide
L_30,30,24.645417,93.005361,Assam,359,32,237,10,26.0,663.8804508010883,4250.191756415705,1,landslide
L_36,36,24.721920013427734,92.90380859375,Assam,41,8,165,10,29.0,19.59676695903465,1866.659289019222,1,landslide
L_808,808,25.366254806518555,92.823037,Assam,968,15,20,30,29.0,55.07412344203437,92.56156679641548,1,landslide
L_664,664,25.164270401000977,92.99787902832033,Assam,518,28,233,10,26.0,1.0608930215890542,1136.0601723561376,1,landslide
L_805,805,25.117665,92.847709,Assam,167,13,153,10,27.0,187.82802144366389,958.1229648977462,1,landslide
L_674,674,25.10638889,92.86480556,Assam,211,21,50,10,28.0,5.009085103349752,255.02776214675103,1,landslide
L_681,681,25.11077778,93.00458333,Assam,537,24,300,10,27.0,10.967592167845853,1274.0803054625524,1,landslide
L_688,688,25.14263916015625,93.03182220458984,Assam,488,28,299,10,28.0,142.26291593246765,1385.6301142310608,1,landslide
L_690,690,25.143407821655273,93.02995300292967,Assam,460,19,134,30,28.0,2.7309832666953047,1588.5156318502814,1,landslide
L_691,691,25.14879035949707,93.031636,Assam,461,26,131,30,34.0,31.674653397403983,1457.1527492292448,1,landslide
L_692,692,25.151439666748047,93.03309631347656,Assam,454,35,119,10,32.0,36.75613032874926,1368.9170270345126,1,landslide
L_641,641,25.156482696533203,93.018367,Assam,616,16,176,10,30.0,29.358998509150947,443.7961131585822,1,landslide
L_628,628,25.17174911499023,93.00726318359376,Assam,735,21,240,50,30.0,16.380768402410755,1314.6515243954675,1,landslide
L_780,780,25.169861,93.002528,Assam,720,25,147,10,31.0,180.53158444956105,1430.7203847408666,1,landslide
L_646,646,25.171264,93.020014,Assam,643,26,88,10,28.0,50.89641168638381,577.5005552516255,1,landslide
L_781,781,25.189720153808594,93.02011108398438,Assam,500,6,48,50,29.0,12.47499543290076,1205.1318421985736,1,landslide
L_782,782,25.186250686645508,93.01628875732422,Assam,563,24,88,10,30.0,5.192840466381211,1618.2192979419997,1,landslide
L_623,623,25.167360305786133,93.00952911376952,Assam,632,22,207,10,30.0,75.44226010638421,872.5358160896316,1,landslide
L_632,632,25.165790557861328,93.00948333740234,Assam,585,24,276,10,29.0,191.2937706947644,830.1490591965612,1,landslide
L_633,633,25.15859031677246,93.0129165649414,Assam,580,19,236,10,28.0,14.54691197465282,685.7370379447318,1,landslide
L_624,624,25.16023063659668,93.0108413696289,Assam,591,21,246,10,28.0,19.39438366652131,560.2242116346622,1,landslide
L_625,625,25.162389,93.010222,Assam,582,19,300,10,27.0,107.91298612731504,683.6198345111278,1,landslide
L_626,626,25.1625278,93.0103333,Assam,591,18,290,10,27.0,109.94064756199168,702.6467910952748,1,landslide
L_627,627,25.16247177124023,93.01043701171876,Assam,591,18,290,10,27.0,98.06577701013413,703.8620000870147,1,landslide
L_787,787,25.17622947692871,93.01325988769533,Assam,696,33,2,10,29.0,2.770724837634144,1249.037187007234,1,landslide
